scope,mode,module,mean_abs_shap,seed_std,seeds,shap_share,rank,mapped_topic_degree,degree_normalized_score,degree_normalized_share,degree_normalized_rank
all,bidirectional,src/modules/uavcan,0.1291193069350999,0.0072921438527987145,5,0.017892553404766764,17,1,0.1291193069350999,0.06046751270747465,4
all,bidirectional,src/modules/commander,0.9310819722280745,0.05297906639048452,5,0.12902356981113622,2,9,0.10345355246978606,0.048448052790001944,5
all,bidirectional,src/drivers/camera_trigger,0.09293269860260714,0.0038076142317496476,5,0.01287803746988843,21,1,0.09293269860260714,0.043521060227790564,6
all,bidirectional,src/modules/sensors,0.3601860734812655,0.01659448524766072,5,0.049912353995643005,5,5,0.0720372146962531,0.03373555278798239,7
all,bidirectional,src/modules/events,0.18304116490330505,0.010629589888152187,5,0.02536471032910111,12,3,0.06101372163443502,0.02857317062672062,8
all,bidirectional,src/modules/gnd_pos_control,0.12058459262550289,0.0030519216611151314,5,0.016709865585232166,18,2,0.060292296312751445,0.02823532188944137,9
all,bidirectional,src/modules/vtol_att_control,0.4179882097942641,0.015226860380604263,5,0.0579222158469754,4,7,0.05971260139918059,0.02796384653548502,10
all,bidirectional,src/modules/landing_target_estimator,0.1137073432432566,0.005407862751124555,5,0.015756858984045937,19,2,0.0568536716216283,0.026624988879280186,11
all,bidirectional,src/modules/wind_estimator,0.1137073432432566,0.005407862751124555,5,0.015756858984045937,19,2,0.0568536716216283,0.026624988879280186,11
all,bidirectional,src/drivers/vmount,0.10423628315549896,0.004390743985962221,5,0.014444418169093793,20,2,0.05211814157774948,0.024407305638083746,12
all,bidirectional,src/modules/land_detector,0.29471490704558223,0.01194251690201119,5,0.04083976547476712,6,6,0.04911915117426371,0.02300285656972312,13
all,bidirectional,src/modules/mavlink,0.47706060130242867,0.01835668026568734,5,0.06610810179150257,3,10,0.04770606013024287,0.022341095732483676,14
all,bidirectional,src/modules/gnd_att_control,0.1635568494303682,0.006234560049360844,5,0.02266469463485581,14,4,0.04088921235759205,0.01914871622625794,15
all,bidirectional,src/modules/fw_pos_control_l1,0.19988336277365543,0.00772768612592732,5,0.027698597739140903,11,5,0.039976672554731085,0.01872136718423352,16
all,bidirectional,src/modules/mc_pos_control,0.19988336277365543,0.00772768612592732,5,0.027698597739140903,11,5,0.039976672554731085,0.01872136718423352,16
all,bidirectional,src/modules/mc_att_control,0.26375513889815483,0.01423837573138115,5,0.036549552662089334,8,7,0.03767930555687926,0.01764549347151167,17
all,bidirectional,src/modules/position_estimator_inav,0.21049903226817065,0.011379830697945594,5,0.029169651432555153,10,6,0.03508317204469511,0.016429705222143196,18
all,bidirectional,src/drivers/telemetry,0.1709355428010429,0.008996450775975693,5,0.023687188236517994,13,5,0.03418710856020858,0.01601007216012461,19
all,bidirectional,src/modules/fw_att_control,0.23905247652788617,0.012378922544824504,5,0.033126410792824836,9,7,0.034150353789698024,0.015992859633155082,20
