run_id,mutation_id,ground_truth_module,module,score,rank,detected,ranking_available,ranking_protocol
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/modules/mavlink,0.0005753145019156832,25,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/drivers/telemetry,0.00016651509477355153,26,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/drivers/distance_sensor,0.00011175671662928638,27,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/drivers/px4flow,0.00011175671662928638,28,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/platforms/posix/drivers/df_bebop_rangefinder_wrapper,0.00011175671662928638,29,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/platforms/posix/drivers/df_isl29501_wrapper,0.00011175671662928638,30,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/platforms/posix/drivers/df_trone_wrapper,0.00011175671662928638,31,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/modules/logger,3.827864905962509e-06,32,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/drivers/batt_smbus,0.0,33,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/drivers/blinkm,0.0,34,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/drivers/vmount,0.0,35,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/examples/fixedwing_control,0.0,36,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/examples/px4_simple_app,0.0,37,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/examples/rover_steering_control,0.0,38,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/examples/uuv_example_app,0.0,39,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/modules/attitude_estimator_q,0.0,40,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/modules/camera_feedback,0.0,41,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/modules/fw_att_control,0.0,42,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/modules/gnd_att_control,0.0,43,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/modules/gnd_pos_control,0.0,44,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/modules/gpio_led,0.0,45,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/modules/mc_att_control,0.0,46,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/modules/position_estimator_inav,0.0,47,False,True,onset_conditioned
ekf2_innovation_bias__2019-01-18__08_39_38__fault,ekf2_innovation_bias,src/modules/ekf2,src/modules/replay,0.0,48,False,True,onset_conditioned
