seed,scope,k,windows,consistency,hit_rate,weighted_consistency,random_consistency,random_hit_rate,consistency_lift,hit_rate_lift
4,Global Position,1,641,0.8361934477379095,0.8361934477379095,0.5092084245251209,0.19540229885057478,0.1954022988505747,0.6407911488873347,0.6407911488873348
4,Altitude,1,571,0.2276707530647986,0.2276707530647986,0.2167688080769173,0.16091954022988508,0.16091954022988508,0.0667512128349135,0.0667512128349135
4,Mechanical/Electrical,1,683,0.87701317715959,0.87701317715959,0.7793090100784171,0.49425287356321845,0.49425287356321845,0.3827603035963716,0.3827603035963716
4,all,3,3602,0.38737738293540624,0.5641310383120489,0.30000999599824024,0.17034278529807834,0.3653705863730332,0.2170345976373279,0.1987604519390157
4,correct_predictions,3,3289,0.4107631498935847,0.5831559744603223,0.3080273883306718,0.16326452158536117,0.35175664920259103,0.24749862830822353,0.23139932525773127
4,External Position,3,1707,0.09119312634251123,0.27299355594610425,0.05752218053285299,0.03448275862068966,0.10105193641209488,0.056710367721821565,0.17194161953400938
4,Global Position,3,641,0.7987519500780031,0.9594383775351014,0.5092084245251209,0.19540229885057478,0.483560545308741,0.6033496512274283,0.47587783222636043
4,Altitude,3,571,0.21074138937536485,0.5516637478108581,0.2167688080769173,0.16091954022988508,0.41321760460399076,0.04982184914547977,0.13844614320686738
4,Mechanical/Electrical,3,683,0.8892142508540751,0.931185944363104,0.7793090100784171,0.49425287356321845,0.875050709939148,0.3949613772908567,0.05613523442395596
4,all,5,3602,0.3523598001110494,0.7262631871182677,0.30000999599824024,0.17034278529807834,0.4757446622227997,0.18201701481297106,0.25051852489546794
4,correct_predictions,5,3289,0.3689875342049255,0.7351778656126482,0.3080273883306718,0.16326452158536117,0.45976408383431105,0.20572301261956435,0.27541378177833714
4,External Position,5,1707,0.09701230228471001,0.48096074985354426,0.05752218053285299,0.03448275862068966,0.16448889098542385,0.06252954366402036,0.3164718588681204
4,Global Position,5,641,0.5750390015600624,0.9890795631825273,0.5092084245251209,0.19540229885057478,0.6724476092018435,0.3796367027094876,0.3166319539806838
4,Altitude,5,571,0.26199649737302977,0.8493870402802102,0.2167688080769173,0.16091954022988508,0.5934941236714394,0.10107695714314469,0.2558929166087708
4,Mechanical/Electrical,5,683,0.8571010248901904,0.9897510980966325,0.7793090100784171,0.49425287356321845,0.9706086007315265,0.3628481513269719,0.01914249736510598
4,all,10,3602,0.3002776235424764,0.8425874514158801,0.30000999599824024,0.17034278529807834,0.6305642277774868,0.12993483824439805,0.21202322363839332
4,correct_predictions,10,3289,0.30641532380662817,0.8452417148069322,0.3080273883306718,0.16326452158536117,0.6139106487686652,0.143150802221267,0.23133106603826703
4,External Position,10,1707,0.07744581136496778,0.6695957820738138,0.05752218053285299,0.03448275862068966,0.3098731072220388,0.04296305274427812,0.35972267485177495
4,Global Position,10,641,0.4315132605304212,1.0,0.5092084245251209,0.19540229885057478,0.9008424868902108,0.23611096167984644,0.09915751310978915
4,Altitude,10,571,0.2486865148861646,0.9947460595446584,0.2167688080769173,0.16091954022988508,0.8446979253764334,0.08776697465627953,0.15004813416822504
4,Mechanical/Electrical,10,683,0.7771595900439239,1.0,0.7793090100784171,0.49425287356321845,0.9993798022546388,0.2829067164807054,0.0006201977453611507
