seed,scope,level,rank,name,mean_abs_shap,scope_windows,topic,feature_count
1,Global Position,topic,8,actuator_outputs,0.2725345082875835,641,actuator_outputs,144
1,Global Position,topic,9,battery_status,0.24302769748909536,641,battery_status,108
1,Global Position,topic,10,vehicle_attitude,0.19427147779993778,641,vehicle_attitude,126
1,Global Position,topic,11,sensor_combined,0.1717960627586328,641,sensor_combined,108
1,Global Position,topic,12,sensor_preflight,0.16430206959446497,641,sensor_preflight,36
1,Global Position,topic,13,rate_ctrl_status,0.11694040835486375,641,rate_ctrl_status,54
1,Global Position,topic,14,vehicle_rates_setpoint,0.0524869427364005,641,vehicle_rates_setpoint,54
1,Global Position,topic,15,vehicle_vision_position,0.046437470038642015,641,vehicle_vision_position,54
1,Global Position,topic,16,vehicle_status,0.018846265563694696,641,vehicle_status,36
1,Global Position,topic,17,distance_sensor,0.005362849957220692,641,distance_sensor,18
1,Global Position,topic,18,vehicle_land_detected,0.0036077870822060955,641,vehicle_land_detected,54
1,Altitude,topic,1,estimator_status,2.258133891839041,571,estimator_status,162
1,Altitude,topic,2,ekf2_innovations,1.4104278208081595,571,ekf2_innovations,144
1,Altitude,topic,3,vehicle_local_position,1.0211034916483355,571,vehicle_local_position,234
1,Altitude,topic,4,actuator_controls_0,0.7659711217990537,571,actuator_controls_0,72
1,Altitude,topic,5,manual_control_setpoint,0.2789422173130477,571,manual_control_setpoint,72
1,Altitude,topic,6,sensor_preflight,0.25777633474783046,571,sensor_preflight,36
1,Altitude,topic,7,vehicle_rates_setpoint,0.24585643606321986,571,vehicle_rates_setpoint,54
1,Altitude,topic,8,actuator_outputs,0.1975053310096013,571,actuator_outputs,144
1,Altitude,topic,9,battery_status,0.1621713579473132,571,battery_status,108
1,Altitude,topic,10,rate_ctrl_status,0.15978847922314376,571,rate_ctrl_status,54
1,Altitude,topic,11,sensor_combined,0.14339299343304987,571,sensor_combined,108
1,Altitude,topic,12,vehicle_attitude,0.13156744935195572,571,vehicle_attitude,126
1,Altitude,topic,13,vehicle_vision_position,0.12893496128702436,571,vehicle_vision_position,54
1,Altitude,topic,14,vehicle_attitude_setpoint,0.11130826624357071,571,vehicle_attitude_setpoint,54
1,Altitude,topic,15,cpuload,0.08310387831334624,571,cpuload,36
1,Altitude,topic,16,distance_sensor,0.07831373841359585,571,distance_sensor,18
1,Altitude,topic,17,vehicle_status,0.030913093110457004,571,vehicle_status,36
1,Altitude,topic,18,vehicle_land_detected,0.010827373981265235,571,vehicle_land_detected,54
1,Mechanical/Electrical,topic,1,actuator_controls_0,2.160648296091113,683,actuator_controls_0,72
1,Mechanical/Electrical,topic,2,actuator_outputs,1.2331528332452122,683,actuator_outputs,144
