seed,k,mask,repeat,baseline_macro_f1,masked_macro_f1,macro_f1_drop,baseline_balanced_accuracy,masked_balanced_accuracy,balanced_accuracy_drop
0,100,uniform_random_k,11,0.8981823801062768,0.8953113653725643,0.0028710147337125402,0.8866618861212897,0.8845862578580146,0.00207562826327512
0,100,uniform_random_k,12,0.8981823801062768,0.8925611928207895,0.005621187285487328,0.8866618861212897,0.8820055010400115,0.0046563850812781915
0,100,uniform_random_k,13,0.8981823801062768,0.8832127118754721,0.0149696682308047,0.8866618861212897,0.8672892769654891,0.019372609155800635
0,100,uniform_random_k,14,0.8981823801062768,0.8886263692321954,0.009556010874081422,0.8866618861212897,0.8773980613011692,0.009263824820120559
0,100,uniform_random_k,15,0.8981823801062768,0.8822984992130224,0.015883880893254432,0.8866618861212897,0.866099770005477,0.020562116115812712
0,100,uniform_random_k,16,0.8981823801062768,0.8958236404047962,0.0023587397014805944,0.8866618861212897,0.8819911197280258,0.004670766393263914
0,100,uniform_random_k,17,0.8981823801062768,0.8853190225570349,0.01286335754924195,0.8866618861212897,0.8698265025597146,0.0168353835615751
0,100,uniform_random_k,18,0.8981823801062768,0.9002325825610002,-0.0020502024547234265,0.8866618861212897,0.8897553180959474,-0.0030934319746577232
0,100,uniform_random_k,19,0.8981823801062768,0.8989799956849687,-0.000797615578691846,0.8866618861212897,0.8891549040348464,-0.0024930179135567165
1,10,validation_shap_top_k,-1,0.8974865065008713,0.8598046710113483,0.037681835489522975,0.8862512126071194,0.846364886618765,0.0398863259883544
1,10,uniform_random_k,0,0.8974865065008713,0.8972116833434363,0.0002748231574349891,0.8862512126071194,0.8861047568367622,0.00014645577035721224
1,10,uniform_random_k,1,0.8974865065008713,0.8984455555063914,-0.0009590490055201295,0.8862512126071194,0.8868366672495066,-0.0005854546423872398
1,10,uniform_random_k,2,0.8974865065008713,0.8974865065008713,0.0,0.8862512126071194,0.8862512126071194,0.0
1,10,uniform_random_k,3,0.8974865065008713,0.8963412080120052,0.00114529848886602,0.8862512126071194,0.8848377599839051,0.0014134526232142397
1,10,uniform_random_k,4,0.8974865065008713,0.895819762342713,0.001666744158158262,0.8862512126071194,0.88456883183298,0.0016823807741394026
1,10,uniform_random_k,5,0.8974865065008713,0.8974486847110184,3.7821789852898746e-05,0.8862512126071194,0.8865425852080404,-0.0002913726009210471
1,10,uniform_random_k,6,0.8974865065008713,0.895450321259121,0.002036185241750199,0.8862512126071194,0.8846389350447057,0.0016122775624136665
1,10,uniform_random_k,7,0.8974865065008713,0.8970664433028948,0.0004200631979764946,0.8862512126071194,0.8857387246259275,0.0005124879811918559
