group,run_id,topic,sustained_max,evidence
reference,ekf2_innovation_bias__2018-12-25__08_44_40__fault,vehicle_status,0.0,0.0
reference,ekf2_innovation_bias__2018-12-25__08_44_40__fault,vehicle_vision_position,0.0,0.0
reference,inav_local_z_freeze__2018-12-19__07_49_17__fault,actuator_controls_0,1.5460986124135143,0.0
reference,inav_local_z_freeze__2018-12-19__07_49_17__fault,actuator_outputs,6.498985290527344,0.0
reference,inav_local_z_freeze__2018-12-19__07_49_17__fault,battery_status,0.0,0.0
reference,inav_local_z_freeze__2018-12-19__07_49_17__fault,cpuload,0.0,0.0
reference,inav_local_z_freeze__2018-12-19__07_49_17__fault,distance_sensor,0.0,0.0
reference,inav_local_z_freeze__2018-12-19__07_49_17__fault,ekf2_innovations,0.0,0.0
reference,inav_local_z_freeze__2018-12-19__07_49_17__fault,estimator_status,0.0,0.0
reference,inav_local_z_freeze__2018-12-19__07_49_17__fault,manual_control_setpoint,25.818995237350464,0.0
reference,inav_local_z_freeze__2018-12-19__07_49_17__fault,rate_ctrl_status,0.05186647176742554,0.0
reference,inav_local_z_freeze__2018-12-19__07_49_17__fault,sensor_combined,12.96536922454834,0.250842809677124
reference,inav_local_z_freeze__2018-12-19__07_49_17__fault,sensor_preflight,0.0,0.0
reference,inav_local_z_freeze__2018-12-19__07_49_17__fault,vehicle_attitude,45.75949668884277,16.231451213359833
reference,inav_local_z_freeze__2018-12-19__07_49_17__fault,vehicle_attitude_setpoint,13.585419654846191,0.0
reference,inav_local_z_freeze__2018-12-19__07_49_17__fault,vehicle_land_detected,0.0,0.0
reference,inav_local_z_freeze__2018-12-19__07_49_17__fault,vehicle_local_position,23.505735397338867,0.0
reference,inav_local_z_freeze__2018-12-19__07_49_17__fault,vehicle_rates_setpoint,9.07005786895752,0.0
reference,inav_local_z_freeze__2018-12-19__07_49_17__fault,vehicle_status,0.0,0.0
reference,inav_local_z_freeze__2018-12-19__07_49_17__fault,vehicle_vision_position,0.0,0.0
reference,inav_local_z_freeze__2018-12-20__07_47_50__fault,actuator_controls_0,0.5512268898429816,0.0
reference,inav_local_z_freeze__2018-12-20__07_47_50__fault,actuator_outputs,4.662284553050995,0.0
reference,inav_local_z_freeze__2018-12-20__07_47_50__fault,battery_status,0.0,0.0
reference,inav_local_z_freeze__2018-12-20__07_47_50__fault,cpuload,0.0,0.0
reference,inav_local_z_freeze__2018-12-20__07_47_50__fault,distance_sensor,0.0,0.0
reference,inav_local_z_freeze__2018-12-20__07_47_50__fault,ekf2_innovations,0.0,0.0
reference,inav_local_z_freeze__2018-12-20__07_47_50__fault,estimator_status,0.0,0.0
reference,inav_local_z_freeze__2018-12-20__07_47_50__fault,manual_control_setpoint,2.432284355163574,0.0
reference,inav_local_z_freeze__2018-12-20__07_47_50__fault,rate_ctrl_status,0.0620722770690918,0.0
