method,pair_id,run_id,source_log,condition,mutation_id,threshold,any_alarm,detected,pre_onset_alarm,first_alarm_s,detection_delay_s,ground_truth_rank,top1,top3,top5,mrr
original_stage1_original_shap,normal:commander_nav_state_override__2019-03-06__08_02_26__baseline,commander_nav_state_override__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,commander_nav_state_override,0.3374776883274057,True,True,False,74.4,44.400000000000006,,0.0,0.0,0.0,0.0
paired_residual,normal:ekf2_innovation_bias__2019-03-06__08_02_26__baseline,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,ekf2_innovation_bias,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
residual_gate_original_shap,normal:ekf2_innovation_bias__2019-03-06__08_02_26__baseline,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,ekf2_innovation_bias,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
original_stage1_original_shap,normal:ekf2_innovation_bias__2019-03-06__08_02_26__baseline,ekf2_innovation_bias__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,ekf2_innovation_bias,0.3374776883274057,True,True,False,80.8,50.8,,0.0,0.0,0.0,0.0
paired_residual,normal:inav_local_z_freeze__2019-03-06__08_02_26__baseline,inav_local_z_freeze__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,inav_local_z_freeze,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
residual_gate_original_shap,normal:inav_local_z_freeze__2019-03-06__08_02_26__baseline,inav_local_z_freeze__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,inav_local_z_freeze,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
original_stage1_original_shap,normal:inav_local_z_freeze__2019-03-06__08_02_26__baseline,inav_local_z_freeze__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,inav_local_z_freeze,0.3374776883274057,True,True,False,81.6,51.599999999999994,,0.0,0.0,0.0,0.0
paired_residual,normal:land_detector_state_inversion__2019-03-06__08_02_26__baseline,land_detector_state_inversion__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,land_detector_state_inversion,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
residual_gate_original_shap,normal:land_detector_state_inversion__2019-03-06__08_02_26__baseline,land_detector_state_inversion__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,land_detector_state_inversion,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
original_stage1_original_shap,normal:land_detector_state_inversion__2019-03-06__08_02_26__baseline,land_detector_state_inversion__2019-03-06__08_02_26__baseline,2019-03-06__08_02_26,normal,land_detector_state_inversion,0.3374776883274057,True,True,False,80.8,50.8,,0.0,0.0,0.0,0.0
paired_residual,fault:commander_nav_state_override__2019-03-06__08_02_26__fault,commander_nav_state_override__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,commander_nav_state_override,3.0,True,True,False,32.0,2.0,1.0,1.0,1.0,1.0,1.0
residual_gate_original_shap,fault:commander_nav_state_override__2019-03-06__08_02_26__fault,commander_nav_state_override__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,commander_nav_state_override,3.0,True,True,False,32.0,2.0,1.0,1.0,1.0,1.0,1.0
original_stage1_original_shap,fault:commander_nav_state_override__2019-03-06__08_02_26__fault,commander_nav_state_override__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,commander_nav_state_override,0.3374776883274057,True,True,False,80.8,50.8,2.0,0.0,1.0,1.0,0.5
paired_residual,fault:ekf2_innovation_bias__2019-03-06__08_02_26__fault,ekf2_innovation_bias__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,ekf2_innovation_bias,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
residual_gate_original_shap,fault:ekf2_innovation_bias__2019-03-06__08_02_26__fault,ekf2_innovation_bias__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,ekf2_innovation_bias,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
original_stage1_original_shap,fault:ekf2_innovation_bias__2019-03-06__08_02_26__fault,ekf2_innovation_bias__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,ekf2_innovation_bias,0.3374776883274057,True,True,False,80.8,50.8,1.0,1.0,1.0,1.0,1.0
paired_residual,fault:inav_local_z_freeze__2019-03-06__08_02_26__fault,inav_local_z_freeze__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,inav_local_z_freeze,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
residual_gate_original_shap,fault:inav_local_z_freeze__2019-03-06__08_02_26__fault,inav_local_z_freeze__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,inav_local_z_freeze,3.0,False,False,False,,,,0.0,0.0,0.0,0.0
original_stage1_original_shap,fault:inav_local_z_freeze__2019-03-06__08_02_26__fault,inav_local_z_freeze__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,inav_local_z_freeze,0.3374776883274057,True,True,False,76.0,46.0,9.0,0.0,0.0,0.0,0.1111111111111111
paired_residual,fault:land_detector_state_inversion__2019-03-06__08_02_26__fault,land_detector_state_inversion__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,land_detector_state_inversion,3.0,True,True,False,31.2,1.1999999999999993,2.0,0.0,1.0,1.0,0.5
residual_gate_original_shap,fault:land_detector_state_inversion__2019-03-06__08_02_26__fault,land_detector_state_inversion__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,land_detector_state_inversion,3.0,True,True,False,31.2,1.1999999999999993,42.0,0.0,0.0,0.0,0.023809523809523808
original_stage1_original_shap,fault:land_detector_state_inversion__2019-03-06__08_02_26__fault,land_detector_state_inversion__2019-03-06__08_02_26__fault,2019-03-06__08_02_26,fault,land_detector_state_inversion,0.3374776883274057,True,True,False,80.8,50.8,,0.0,0.0,0.0,0.0
