gate,exposure,run_id,source_log,condition,mutation_id,any_alarm,detected,pre_onset_alarm,first_alarm_s,detection_delay_s,frozen_rank,top1,top3,top5,mrr
frozen,post30_common,inav_local_z_freeze__2018-12-20__07_47_50__fault,2018-12-20__07_47_50,fault,inav_local_z_freeze,True,True,False,84.818601,54.818601,,0,0,0,0.0
frozen,post30_common,inav_local_z_freeze__2018-12-25__08_44_40__fault,2018-12-25__08_44_40,fault,inav_local_z_freeze,True,True,False,47.223047,17.223047,7.0,0,0,0,0.14285714285714285
frozen,post30_common,land_detector_state_inversion__2018-12-19__07_49_17__fault,2018-12-19__07_49_17,fault,land_detector_state_inversion,True,True,False,31.226122999999998,1.2261229999999976,2.0,0,1,1,0.5
frozen,post30_common,land_detector_state_inversion__2018-12-20__07_47_50__fault,2018-12-20__07_47_50,fault,land_detector_state_inversion,True,True,False,31.218301,1.2183010000000003,2.0,0,1,1,0.5
frozen,post30_common,land_detector_state_inversion__2018-12-25__08_44_40__fault,2018-12-25__08_44_40,fault,land_detector_state_inversion,True,True,False,30.424174999999998,0.4241749999999982,2.0,0,1,1,0.5
frozen,post30_common,commander_nav_state_override__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,normal,commander_nav_state_override,True,True,False,32.832558,2.832557999999999,,0,0,0,0.0
frozen,post30_common,commander_nav_state_override__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,normal,commander_nav_state_override,True,True,False,89.615898,59.615898,,0,0,0,0.0
frozen,post30_common,commander_nav_state_override__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,normal,commander_nav_state_override,True,True,False,104.016792,74.016792,,0,0,0,0.0
frozen,post30_common,ekf2_innovation_bias__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,normal,ekf2_innovation_bias,True,True,False,30.417917,0.4179169999999992,,0,0,0,0.0
frozen,post30_common,ekf2_innovation_bias__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,normal,ekf2_innovation_bias,True,True,False,30.418491,0.4184909999999995,,0,0,0,0.0
frozen,post30_common,ekf2_innovation_bias__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,normal,ekf2_innovation_bias,True,True,False,38.420496,8.420496,,0,0,0,0.0
frozen,post30_common,inav_local_z_freeze__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,normal,inav_local_z_freeze,True,True,False,72.82951,42.82951,,0,0,0,0.0
frozen,post30_common,inav_local_z_freeze__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,normal,inav_local_z_freeze,True,True,False,86.42027200000001,56.42027200000001,,0,0,0,0.0
frozen,post30_common,inav_local_z_freeze__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,normal,inav_local_z_freeze,False,False,False,,,,0,0,0,0.0
frozen,post30_common,land_detector_state_inversion__2018-12-19__07_49_17__baseline,2018-12-19__07_49_17,normal,land_detector_state_inversion,True,True,False,44.031279,14.031278999999998,,0,0,0,0.0
frozen,post30_common,land_detector_state_inversion__2018-12-20__07_47_50__baseline,2018-12-20__07_47_50,normal,land_detector_state_inversion,False,False,False,,,,0,0,0,0.0
frozen,post30_common,land_detector_state_inversion__2018-12-25__08_44_40__baseline,2018-12-25__08_44_40,normal,land_detector_state_inversion,True,True,False,104.016244,74.016244,,0,0,0,0.0
optimized_q90_w15,historical,commander_nav_state_override__2018-12-19__07_49_17__fault,2018-12-19__07_49_17,fault,commander_nav_state_override,True,True,False,31.224026,1.2240259999999985,1.0,1,1,1,1.0
optimized_q90_w15,historical,commander_nav_state_override__2018-12-20__07_47_50__fault,2018-12-20__07_47_50,fault,commander_nav_state_override,True,True,True,15.222316,1.2223159999999993,1.0,1,1,1,1.0
optimized_q90_w15,historical,commander_nav_state_override__2018-12-25__08_44_40__fault,2018-12-25__08_44_40,fault,commander_nav_state_override,True,True,True,15.224953,1.2249529999999993,1.0,1,1,1,1.0
