run_id,topic,samples,valid_samples,first_s,last_s,missing_channels
inav_local_z_freeze__2019-01-25__17_38_05__baseline,vehicle_status,95,95,0.998373,93.300698,
inav_local_z_freeze__2019-01-25__17_38_05__baseline,vehicle_status_flags,95,95,0.998386,93.300729,
inav_local_z_freeze__2019-01-25__17_38_05__baseline,vehicle_vision_position,1876,1876,1.335517,94.28897,
inav_local_z_freeze__2019-03-06__08_02_26__baseline,actuator_controls_0,953,953,1.225273,97.846796,
inav_local_z_freeze__2019-03-06__08_02_26__baseline,actuator_outputs,951,951,1.135315,97.760898,
inav_local_z_freeze__2019-03-06__08_02_26__baseline,battery_status,194,194,0.833499,97.76308,
inav_local_z_freeze__2019-03-06__08_02_26__baseline,cpuload,97,97,0.735621,97.02465,
inav_local_z_freeze__2019-03-06__08_02_26__baseline,distance_sensor,951,951,1.234719,97.757376,
inav_local_z_freeze__2019-03-06__08_02_26__baseline,ekf2_innovations,477,477,1.149585,97.763182,
inav_local_z_freeze__2019-03-06__08_02_26__baseline,estimator_status,477,477,1.149585,97.763182,
inav_local_z_freeze__2019-03-06__08_02_26__baseline,manual_control_setpoint,477,477,1.134525,97.784096,
inav_local_z_freeze__2019-03-06__08_02_26__baseline,rate_ctrl_status,3055,3055,1.293296,97.842928,
inav_local_z_freeze__2019-03-06__08_02_26__baseline,sensor_combined,24109,24109,1.313067,97.846657,
inav_local_z_freeze__2019-03-06__08_02_26__baseline,sensor_preflight,6,5,96.855565,97.65974,
inav_local_z_freeze__2019-03-06__08_02_26__baseline,system_power,194,194,0.840369,97.78037,
inav_local_z_freeze__2019-03-06__08_02_26__baseline,vehicle_attitude,3054,3054,1.32555,97.835227,
inav_local_z_freeze__2019-03-06__08_02_26__baseline,vehicle_attitude_setpoint,951,951,1.254309,97.79955,
inav_local_z_freeze__2019-03-06__08_02_26__baseline,vehicle_land_detected,97,97,1.02679,97.444314,
inav_local_z_freeze__2019-03-06__08_02_26__baseline,vehicle_local_position,1083,1083,2.981146,112.787297,
inav_local_z_freeze__2019-03-06__08_02_26__baseline,vehicle_rates_setpoint,3049,3049,1.35328,97.834821,
inav_local_z_freeze__2019-03-06__08_02_26__baseline,vehicle_status,99,99,0.990312,96.848365,
inav_local_z_freeze__2019-03-06__08_02_26__baseline,vehicle_status_flags,99,99,0.990325,96.848397,
inav_local_z_freeze__2019-03-06__08_02_26__baseline,vehicle_vision_position,960,960,1.339805,97.831005,
land_detector_state_inversion__2019-01-18__08_39_38__baseline,actuator_controls_0,668,668,1.138921,68.814917,
land_detector_state_inversion__2019-01-18__08_39_38__baseline,actuator_outputs,667,667,1.089259,68.793244,
land_detector_state_inversion__2019-01-18__08_39_38__baseline,battery_status,136,136,0.982618,68.771174,
land_detector_state_inversion__2019-01-18__08_39_38__baseline,cpuload,68,68,1.097674,68.546529,
land_detector_state_inversion__2019-01-18__08_39_38__baseline,distance_sensor,665,665,1.150519,68.75453,
land_detector_state_inversion__2019-01-18__08_39_38__baseline,ekf2_innovations,334,334,1.095124,68.679631,
land_detector_state_inversion__2019-01-18__08_39_38__baseline,estimator_status,334,334,1.095124,68.691169,
land_detector_state_inversion__2019-01-18__08_39_38__baseline,manual_control_setpoint,334,334,1.088498,68.684376,
land_detector_state_inversion__2019-01-18__08_39_38__baseline,rate_ctrl_status,2129,2129,1.190927,68.811007,
land_detector_state_inversion__2019-01-18__08_39_38__baseline,sensor_combined,16859,16859,1.22677,68.814742,
land_detector_state_inversion__2019-01-18__08_39_38__baseline,sensor_preflight,6,5,67.815327,68.624025,
land_detector_state_inversion__2019-01-18__08_39_38__baseline,system_power,136,136,0.989684,68.769684,
land_detector_state_inversion__2019-01-18__08_39_38__baseline,vehicle_attitude,2060,2060,1.223153,68.799167,
land_detector_state_inversion__2019-01-18__08_39_38__baseline,vehicle_attitude_setpoint,665,665,1.200119,68.751724,
land_detector_state_inversion__2019-01-18__08_39_38__baseline,vehicle_land_detected,2722,2722,0.906211,84.111461,
land_detector_state_inversion__2019-01-18__08_39_38__baseline,vehicle_local_position,663,663,1.199281,68.751247,
land_detector_state_inversion__2019-01-18__08_39_38__baseline,vehicle_rates_setpoint,2125,2125,1.254885,68.794885,
land_detector_state_inversion__2019-01-18__08_39_38__baseline,vehicle_status,72,72,0.996877,68.814609,
land_detector_state_inversion__2019-01-18__08_39_38__baseline,vehicle_status_flags,72,72,0.996891,68.816092,
land_detector_state_inversion__2019-01-18__08_39_38__baseline,vehicle_vision_position,1304,1304,1.248703,68.775784,
land_detector_state_inversion__2019-01-25__17_38_05__baseline,actuator_controls_0,918,918,1.225372,94.302237,
land_detector_state_inversion__2019-01-25__17_38_05__baseline,actuator_outputs,917,917,1.151954,94.184654,
land_detector_state_inversion__2019-01-25__17_38_05__baseline,battery_status,187,187,0.937694,94.210463,
land_detector_state_inversion__2019-01-25__17_38_05__baseline,cpuload,94,94,0.859242,94.109476,
land_detector_state_inversion__2019-01-25__17_38_05__baseline,distance_sensor,916,916,1.224513,94.176538,
land_detector_state_inversion__2019-01-25__17_38_05__baseline,ekf2_innovations,459,459,1.254203,94.222629,
land_detector_state_inversion__2019-01-25__17_38_05__baseline,estimator_status,459,459,1.254203,94.222629,
land_detector_state_inversion__2019-01-25__17_38_05__baseline,manual_control_setpoint,459,459,1.246739,94.231523,
land_detector_state_inversion__2019-01-25__17_38_05__baseline,rate_ctrl_status,2941,2941,1.297434,94.278241,
land_detector_state_inversion__2019-01-25__17_38_05__baseline,sensor_combined,23234,23234,1.313265,94.302066,
land_detector_state_inversion__2019-01-25__17_38_05__baseline,sensor_preflight,6,5,93.306361,94.11543,
land_detector_state_inversion__2019-01-25__17_38_05__baseline,system_power,187,187,0.934605,94.224606,
land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_attitude,2938,2938,1.32571,94.286649,
land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_attitude_setpoint,916,916,1.259237,94.223282,
land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_land_detected,3927,3927,0.982595,108.290429,
land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_local_position,916,916,1.25765,94.250478,
land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_rates_setpoint,2934,2934,1.361488,94.286181,
land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_status,95,95,0.998373,93.300698,
land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_status_flags,95,95,0.998386,93.300729,
land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_vision_position,1879,1879,1.366996,94.28897,
land_detector_state_inversion__2019-03-06__08_02_26__baseline,actuator_controls_0,953,953,1.217257,97.846796,
land_detector_state_inversion__2019-03-06__08_02_26__baseline,actuator_outputs,952,952,1.135315,97.760898,
land_detector_state_inversion__2019-03-06__08_02_26__baseline,battery_status,194,194,0.833499,97.76308,
land_detector_state_inversion__2019-03-06__08_02_26__baseline,cpuload,97,97,0.735621,97.02465,
land_detector_state_inversion__2019-03-06__08_02_26__baseline,distance_sensor,951,951,1.234719,97.757376,
land_detector_state_inversion__2019-03-06__08_02_26__baseline,ekf2_innovations,477,477,1.149585,97.763182,
land_detector_state_inversion__2019-03-06__08_02_26__baseline,estimator_status,477,477,1.149585,97.763182,
land_detector_state_inversion__2019-03-06__08_02_26__baseline,manual_control_setpoint,477,477,1.134525,97.784096,
