seed,scope,k,windows,consistency,hit_rate,weighted_consistency,random_consistency,random_hit_rate
2,Global Position,5,641,0.3800312012480499,0.953198127925117,0.2694050433377641,0.13793103448275865,0.5328969744050702
2,Altitude,5,571,0.41436077057793347,0.8896672504378283,0.27967361578791977,0.17241379310344832,0.6213369919131216
2,Mechanical/Electrical,5,683,0.8251830161054172,0.9941434846266471,0.7898193951995011,0.5402298850574712,0.9821918661281965
2,all,10,3602,0.27767906718489727,0.8622987229317046,0.27312433408316433,0.1706555106677644,0.6147883193254209
2,correct_predictions,10,3278,0.2842281879194631,0.8770591824283099,0.27869390889809426,0.16208719923137882,0.5958572957799463
2,External Position,10,1707,0.08611599297012303,0.7334504979496193,0.06559164443578769,0.03448275862068966,0.3098731072220388
2,Global Position,10,641,0.22776911076443057,0.9594383775351014,0.2694050433377641,0.13793103448275865,0.7928061264036552
2,Altitude,10,571,0.31138353765323995,0.9737302977232924,0.27967361578791977,0.17241379310344832,0.8659721821741826
2,Mechanical/Electrical,10,683,0.7751098096632504,1.0,0.7898193951995011,0.5402298850574712,0.9997881246499923
3,all,1,3602,0.2543031649083842,0.2543031649083842,0.2709607163495793,0.1706555106677644,0.17065551066776438
3,correct_predictions,1,3293,0.2620710598238688,0.2620710598238688,0.2755509367623036,0.1620574468307905,0.16205744683079049
3,External Position,1,1707,0.040421792618629174,0.040421792618629174,0.06448388919199845,0.03448275862068966,0.03448275862068961
3,Global Position,1,641,0.0374414976599064,0.0374414976599064,0.261396071219548,0.13793103448275865,0.13793103448275867
3,Altitude,1,571,0.3905429071803853,0.3905429071803853,0.2838905379680243,0.17241379310344832,0.17241379310344832
3,Mechanical/Electrical,1,683,0.8784773060029283,0.8784773060029283,0.785168554332315,0.5402298850574712,0.5402298850574712
3,all,3,3602,0.36359429946326116,0.6335369239311494,0.2709607163495793,0.1706555106677644,0.3537462624804545
3,correct_predictions,3,3293,0.38273104565239396,0.657151533556028,0.2755509367623036,0.1620574468307905,0.33792974810290133
3,External Position,3,1707,0.10720562390158173,0.32044522554188637,0.06448388919199845,0.03448275862068966,0.10105193641209488
3,Global Position,3,641,0.43057722308892354,0.9422776911076443,0.261396071219548,0.13793103448275865,0.3629416481909524
3,Altitude,3,571,0.4249854057209574,0.8528896672504378,0.2838905379680243,0.17241379310344832,0.43733194962026506
