mode,module,mean_abs_shap,seed_std,seeds,shap_share,rank,mapped_topic_degree,degree_normalized_score,degree_normalized_share,degree_normalized_rank
consumer_only,src/modules/gnd_att_control,0.18391116779941377,0.006733583937438565,5,0.02782904183249307,10,4,0.04597779194985344,0.018069319158006733,11
consumer_only,src/modules/fw_pos_control_l1,0.21962621775738445,0.008445458320860048,5,0.03323336627468235,7,5,0.04392524355147689,0.017262665542757606,12
consumer_only,src/modules/mc_pos_control,0.21962621775738445,0.008445458320860048,5,0.03323336627468235,7,5,0.04392524355147689,0.017262665542757606,12
consumer_only,src/modules/mc_att_control,0.23731117928194334,0.010728074177684984,5,0.03590941656549318,6,6,0.03955186321365722,0.0155439226068288,13
consumer_only,src/examples/rover_steering_control,0.15615091779524998,0.004689518899640474,5,0.023628420587518285,12,4,0.039037729448812494,0.015341867512555911,14
consumer_only,src/modules/navigator,0.11654408152636601,0.004647450450871367,5,0.017635199422278154,15,3,0.03884802717545534,0.015267314325529694,15
consumer_only,src/drivers/telemetry,0.18942029184332074,0.009663372907683416,5,0.028662670618133185,8,5,0.037884058368664146,0.014888473600701705,16
consumer_only,src/examples/fixedwing_control,0.10417878204033518,0.004273620367274478,5,0.01576410893448694,17,3,0.034726260680111726,0.013647455886473444,17
consumer_only,src/modules/position_estimator_inav,0.15725082444247845,0.011009225003869088,5,0.023794856092571155,11,5,0.03145016488849569,0.012359946897014425,18
consumer_only,src/modules/fw_att_control,0.1868708399225933,0.006845243144471867,5,0.02827689304409681,9,6,0.03114513998709888,0.012240071799478428,19
consumer_only,src/drivers/batt_smbus,0.028856895813480544,0.0020383916464656484,5,0.004366563327057532,23,1,0.028856895813480544,0.011340789504024678,20
consumer_only,src/examples/px4_simple_app,0.026261843101168015,0.0017824060099281337,5,0.0039738855394463105,24,1,0.026261843101168015,0.010320931139756805,21
consumer_only,src/modules/attitude_estimator_q,0.026261843101168015,0.0017824060099281337,5,0.0039738855394463105,24,1,0.026261843101168015,0.010320931139756805,21
consumer_only,src/modules/sdlog2,0.026261843101168015,0.0017824060099281337,5,0.0039738855394463105,24,1,0.026261843101168015,0.010320931139756805,21
consumer_only,src/templates/module,0.026261843101168015,0.0017824060099281337,5,0.0039738855394463105,24,1,0.026261843101168015,0.010320931139756805,21
consumer_only,src/examples/uuv_example_app,0.04588234081733697,0.0034400457841184083,5,0.006942816998318494,21,2,0.022941170408668485,0.00901590338275851,22
consumer_only,src/modules/camera_feedback,0.01962049771616895,0.0016806331662545192,5,0.0029689314588721835,25,1,0.01962049771616895,0.007710875625760212,23
consumer_only,src/modules/replay,0.01962049771616895,0.0016806331662545192,5,0.0029689314588721835,25,1,0.01962049771616895,0.007710875625760212,23
consumer_only,src/modules/ekf2,0.08828663317627619,0.005427465662212435,5,0.01335934319438535,19,5,0.01765732663525524,0.006939347387486211,24
consumer_only,src/drivers/blinkm,0.029953541622797286,0.002005796505984907,5,0.004532505409140277,22,2,0.014976770811398643,0.005885886213123033,25
consumer_only,src/modules/gpio_led,0.029953541622797286,0.002005796505984907,5,0.004532505409140277,22,2,0.014976770811398643,0.005885886213123033,25
consumer_only,src/modules/logger,0.0010966458093167426,6.316388969376822e-05,5,0.0001659420820827452,26,1,0.0010966458093167426,0.0004309829222213873,26
bidirectional,src/modules/load_mon,0.15957819218987762,0.009167797024358413,5,0.022113356970144507,13,1,0.15957819218987762,0.07060608433494549,1
bidirectional,src/modules/ekf2,1.073070699097095,0.06482790641214144,5,0.14869948767875424,1,8,0.13413383738713688,0.05934811583438151,2
bidirectional,src/modules/commander,0.8968426383124577,0.051104328309938045,5,0.12427889509771983,2,9,0.09964918203471752,0.044090225951926146,3
bidirectional,src/drivers/camera_trigger,0.09293269860260713,0.003807614231749654,5,0.012878037469888427,25,1,0.09293269860260713,0.04111848783950547,4
bidirectional,src/examples/hwtest,0.08514303852139662,0.002999125263696645,5,0.011798594648234385,27,1,0.08514303852139662,0.03767191792235739,5
bidirectional,src/drivers/mkblctrl,0.14383363258280565,0.006038197793577438,5,0.01993157346858291,15,2,0.07191681629140283,0.03181991678493061,6
bidirectional,src/drivers/px4io,0.14383363258280565,0.006038197793577438,5,0.01993157346858291,15,2,0.07191681629140283,0.03181991678493061,6
bidirectional,src/platforms/qurt/fc_addon/uart_esc,0.14383363258280565,0.006038197793577438,5,0.01993157346858291,15,2,0.07191681629140283,0.03181991678493061,6
bidirectional,src/modules/events,0.1786418575195374,0.010353984405416638,5,0.024755081574296744,10,3,0.0595472858398458,0.026346962753673507,7
bidirectional,src/drivers/linux_pwm_out,0.05869059406140905,0.003314610842181232,5,0.008132978820348528,28,1,0.05869059406140905,0.02596791564750384,8
bidirectional,src/drivers/pwm_out_sim,0.05869059406140905,0.003314610842181232,5,0.008132978820348528,28,1,0.05869059406140905,0.02596791564750384,8
bidirectional,src/drivers/px4fmu,0.05869059406140905,0.003314610842181232,5,0.008132978820348528,28,1,0.05869059406140905,0.02596791564750384,8
