dataset,group,run_id,topic,shared_fraction,shared_packets_used
development,normal,inav_local_z_freeze__2019-03-06__08_02_26__baseline,sensor_preflight,1.0,True
development,normal,inav_local_z_freeze__2019-03-06__08_02_26__baseline,vehicle_attitude,1.0,True
development,normal,inav_local_z_freeze__2019-03-06__08_02_26__baseline,vehicle_attitude_setpoint,1.0,True
development,normal,inav_local_z_freeze__2019-03-06__08_02_26__baseline,vehicle_land_detected,1.0,True
development,normal,inav_local_z_freeze__2019-03-06__08_02_26__baseline,vehicle_local_position,0.0110803324099723,False
development,normal,inav_local_z_freeze__2019-03-06__08_02_26__baseline,vehicle_rates_setpoint,1.0,True
development,normal,inav_local_z_freeze__2019-03-06__08_02_26__baseline,vehicle_status,1.0,True
development,normal,inav_local_z_freeze__2019-03-06__08_02_26__baseline,vehicle_vision_position,1.0,True
development,normal,land_detector_state_inversion__2019-01-18__08_39_38__baseline,actuator_controls_0,0.005997001499250375,False
development,normal,land_detector_state_inversion__2019-01-18__08_39_38__baseline,actuator_outputs,1.0,True
development,normal,land_detector_state_inversion__2019-01-18__08_39_38__baseline,battery_status,1.0,True
development,normal,land_detector_state_inversion__2019-01-18__08_39_38__baseline,cpuload,1.0,True
development,normal,land_detector_state_inversion__2019-01-18__08_39_38__baseline,distance_sensor,1.0,True
development,normal,land_detector_state_inversion__2019-01-18__08_39_38__baseline,ekf2_innovations,0.996996996996997,True
development,normal,land_detector_state_inversion__2019-01-18__08_39_38__baseline,estimator_status,0.9970059880239521,True
development,normal,land_detector_state_inversion__2019-01-18__08_39_38__baseline,manual_control_setpoint,0.996996996996997,True
development,normal,land_detector_state_inversion__2019-01-18__08_39_38__baseline,rate_ctrl_status,0.999529854254819,True
development,normal,land_detector_state_inversion__2019-01-18__08_39_38__baseline,sensor_combined,0.9994059994059994,True
development,normal,land_detector_state_inversion__2019-01-18__08_39_38__baseline,sensor_preflight,1.0,True
development,normal,land_detector_state_inversion__2019-01-18__08_39_38__baseline,vehicle_attitude,0.9990281827016521,True
development,normal,land_detector_state_inversion__2019-01-18__08_39_38__baseline,vehicle_attitude_setpoint,1.0,True
development,normal,land_detector_state_inversion__2019-01-18__08_39_38__baseline,vehicle_land_detected,0.0,False
development,normal,land_detector_state_inversion__2019-01-18__08_39_38__baseline,vehicle_local_position,0.9984917043740573,True
development,normal,land_detector_state_inversion__2019-01-18__08_39_38__baseline,vehicle_rates_setpoint,0.9995287464655985,True
development,normal,land_detector_state_inversion__2019-01-18__08_39_38__baseline,vehicle_status,1.0,True
development,normal,land_detector_state_inversion__2019-01-18__08_39_38__baseline,vehicle_vision_position,0.9831288343558282,True
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,actuator_controls_0,0.0010893246187363835,False
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,actuator_outputs,1.0,True
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,battery_status,1.0,True
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,cpuload,1.0,True
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,distance_sensor,1.0,True
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,ekf2_innovations,0.9956427015250545,True
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,estimator_status,0.9978213507625272,True
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,manual_control_setpoint,0.9978213507625272,True
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,rate_ctrl_status,1.0,True
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,sensor_combined,0.999870862209978,True
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,sensor_preflight,1.0,True
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_attitude,1.0,True
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_attitude_setpoint,1.0,True
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_land_detected,0.0,False
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_local_position,1.0,True
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_rates_setpoint,1.0,True
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_status,1.0,True
development,normal,land_detector_state_inversion__2019-01-25__17_38_05__baseline,vehicle_vision_position,0.9936136242682277,True
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,actuator_controls_0,0.001049317943336831,False
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,actuator_outputs,1.0,True
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,battery_status,1.0,True
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,cpuload,1.0,True
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,distance_sensor,1.0,True
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,ekf2_innovations,0.9979035639412998,True
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,estimator_status,0.9979035639412998,True
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,manual_control_setpoint,0.9979035639412998,True
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,rate_ctrl_status,1.0,True
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,sensor_combined,0.9997926085694139,True
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,sensor_preflight,1.0,True
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,vehicle_attitude,0.9996725605762934,True
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,vehicle_attitude_setpoint,1.0,True
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,vehicle_land_detected,0.0,False
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,vehicle_local_position,1.0,True
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,vehicle_rates_setpoint,1.0,True
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,vehicle_status,1.0,True
development,normal,land_detector_state_inversion__2019-03-06__08_02_26__baseline,vehicle_vision_position,1.0,True
development,reference,commander_nav_state_override__2019-01-18__08_39_38__fault,actuator_controls_0,0.9744744744744744,True
development,reference,commander_nav_state_override__2019-01-18__08_39_38__fault,actuator_outputs,1.0,True
development,reference,commander_nav_state_override__2019-01-18__08_39_38__fault,battery_status,1.0,True
development,reference,commander_nav_state_override__2019-01-18__08_39_38__fault,cpuload,1.0,True
development,reference,commander_nav_state_override__2019-01-18__08_39_38__fault,distance_sensor,1.0,True
development,reference,commander_nav_state_override__2019-01-18__08_39_38__fault,ekf2_innovations,1.0,True
development,reference,commander_nav_state_override__2019-01-18__08_39_38__fault,estimator_status,1.0,True
development,reference,commander_nav_state_override__2019-01-18__08_39_38__fault,manual_control_setpoint,1.0,True
development,reference,commander_nav_state_override__2019-01-18__08_39_38__fault,rate_ctrl_status,1.0,True
development,reference,commander_nav_state_override__2019-01-18__08_39_38__fault,sensor_combined,0.9997027878499674,True
development,reference,commander_nav_state_override__2019-01-18__08_39_38__fault,sensor_preflight,1.0,True
development,reference,commander_nav_state_override__2019-01-18__08_39_38__fault,vehicle_attitude,1.0,True
development,reference,commander_nav_state_override__2019-01-18__08_39_38__fault,vehicle_attitude_setpoint,1.0,True
development,reference,commander_nav_state_override__2019-01-18__08_39_38__fault,vehicle_land_detected,1.0,True
development,reference,commander_nav_state_override__2019-01-18__08_39_38__fault,vehicle_local_position,1.0,True
development,reference,commander_nav_state_override__2019-01-18__08_39_38__fault,vehicle_rates_setpoint,1.0,True
development,reference,commander_nav_state_override__2019-01-18__08_39_38__fault,vehicle_status,0.0,False
development,reference,commander_nav_state_override__2019-01-18__08_39_38__fault,vehicle_vision_position,0.9992337164750957,True
development,reference,commander_nav_state_override__2019-01-25__17_38_05__fault,actuator_controls_0,0.0010893246187363835,False
development,reference,commander_nav_state_override__2019-01-25__17_38_05__fault,actuator_outputs,1.0,True
development,reference,commander_nav_state_override__2019-01-25__17_38_05__fault,battery_status,1.0,True
development,reference,commander_nav_state_override__2019-01-25__17_38_05__fault,cpuload,1.0,True
development,reference,commander_nav_state_override__2019-01-25__17_38_05__fault,distance_sensor,1.0,True
development,reference,commander_nav_state_override__2019-01-25__17_38_05__fault,ekf2_innovations,0.9956427015250545,True
development,reference,commander_nav_state_override__2019-01-25__17_38_05__fault,estimator_status,0.9978213507625272,True
development,reference,commander_nav_state_override__2019-01-25__17_38_05__fault,manual_control_setpoint,0.9978213507625272,True
development,reference,commander_nav_state_override__2019-01-25__17_38_05__fault,rate_ctrl_status,1.0,True
development,reference,commander_nav_state_override__2019-01-25__17_38_05__fault,sensor_combined,0.9997847518188472,True
development,reference,commander_nav_state_override__2019-01-25__17_38_05__fault,sensor_preflight,1.0,True
