run_id,topic,samples,valid_samples,first_s,last_s,missing_channels
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,vehicle_land_detected,97,97,1.02679,97.444314,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,vehicle_local_position,951,951,1.253974,97.787037,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,vehicle_rates_setpoint,3050,3050,1.293222,97.802817,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,vehicle_status,99,99,0.990312,96.848365,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,vehicle_status_flags,99,99,0.990325,96.848397,
ekf2_innovation_bias__2019-03-06__08_02_26__baseline,vehicle_vision_position,961,961,1.242683,97.831005,
ekf2_innovation_bias__2019-03-06__08_02_26__fault,actuator_controls_0,953,953,1.225273,97.846796,
ekf2_innovation_bias__2019-03-06__08_02_26__fault,actuator_outputs,951,951,1.135315,97.760898,
ekf2_innovation_bias__2019-03-06__08_02_26__fault,battery_status,194,194,0.833499,97.76308,
ekf2_innovation_bias__2019-03-06__08_02_26__fault,cpuload,97,97,0.735621,97.02465,
ekf2_innovation_bias__2019-03-06__08_02_26__fault,distance_sensor,951,951,1.234719,97.757376,
ekf2_innovation_bias__2019-03-06__08_02_26__fault,ekf2_innovations,477,477,1.257166,97.84677,
ekf2_innovation_bias__2019-03-06__08_02_26__fault,estimator_status,477,477,1.265203,97.84675,
ekf2_innovation_bias__2019-03-06__08_02_26__fault,manual_control_setpoint,476,476,1.134525,97.584097,
ekf2_innovation_bias__2019-03-06__08_02_26__fault,rate_ctrl_status,3055,3055,1.293296,97.842928,
ekf2_innovation_bias__2019-03-06__08_02_26__fault,sensor_combined,24106,24106,1.309057,97.846657,
ekf2_innovation_bias__2019-03-06__08_02_26__fault,sensor_preflight,6,5,96.855565,97.65974,
ekf2_innovation_bias__2019-03-06__08_02_26__fault,system_power,193,193,0.840369,97.280371,
ekf2_innovation_bias__2019-03-06__08_02_26__fault,vehicle_attitude,3054,3054,1.32555,97.835227,
